test_id,ref_utterance,ref_utterance_artist,script,type,expected_name,expected_id,asr_pass,e2e_asr_pass,e2e_ref_pass
309757,嘿Siri播放Tom Misch的歌,Tom Misch,,,Tom Misch,893237941,False,False,True
310163,嘿Siri播放ZAYN的歌,ZAYN,,,ZAYN,973181994,False,False,True
308544,嘿Siri播放The Wanted的歌,The Wanted,,,The Wanted,3445978,False,False,True
310293,嘿Siri播放Ra.D的歌,Ra.D,,,Ra.D,384175364,False,False,True
308931,嘿Siri播放XIA的歌,XIA,,,XIA,389991899,False,False,True
309374,嘿Siri播放Theodore Shapiro的歌,Theodore Shapiro,,,Theodore Shapiro,276655,False,False,True
309574,嘿Siri播放比爾艾文斯的歌,比爾艾文斯,,,Bill Evans,117975,False,False,False
308974,嘿Siri播放A R I Z O N A的歌,A R I Z O N A,,,A R I Z O N A,1026166335,False,False,True
309861,嘿Siri播放中島美嘉的歌,中島美嘉,,,,,,,
308872,嘿Siri播放Selena Gomez & The Scene的歌,Selena Gomez & The Scene,,,Selena Gomez & The Scene,327163415,False,False,True
309913,嘿Siri播放My Little Airport的歌,My Little Airport,,,My Little Airport,254621878,False,False,False
308465,嘿Siri播放Crayon Pop的歌,Crayon Pop,,,Crayon Pop,695312695,False,False,True
309571,嘿Siri播放TAEMIN的歌,TAEMIN,,,TAEMIN,971826499,False,False,True
308756,嘿Siri播放The Vamps的歌,The Vamps,,,The Vamps,691255435,False,False,True
309538,嘿Siri播放Russ的歌,Russ,,,Russ,683622116,False,False,True
309375,嘿Siri播放HUSH的歌,HUSH,,,HUSH,1047307955,False,False,True
309198,嘿Siri播放Emil Gilels的歌,Emil Gilels,,,Emil Gilels,267987,False,False,True
308764,嘿Siri播放Ne-Yo的歌,Ne-Yo,,,Ne-Yo,78257321,False,False,True
308870,嘿Siri播放Chet Baker的歌,Chet Baker,,,Chet Baker,118257,False,False,True
309414,嘿Siri播放GD X 太陽的歌,GD X 太陽,,,GD X 太陽,943802791,False,False,False
310172,嘿Siri播放St. Vincent的歌,St. Vincent,,,St. Vincent,198271209,False,False,True
308771,嘿Siri播放Cat Stevens的歌,Cat Stevens,,,Cat Stevens,107587,False,True,True
309738,嘿Siri播放基東克雷默的歌,基東克雷默,,,Gidon Kremer,4562476,False,False,False
309678,嘿Siri播放10cm的歌,10cm,,,10cm,448032126,False,False,True
310220,嘿Siri播放Banks的歌,Banks,,,Banks,2775067,False,False,True
310129,嘿Siri播放HEIZE的歌,HEIZE,,,HEIZE,805276942,False,False,True
310167,嘿Siri播放The Weeknd的歌,The Weeknd,,,The Weeknd,479756766,False,False,True
308881,嘿Siri播放席歐里爾的歌,席歐里爾,,,François-Joël Thiollier,3072213,False,False,False
309607,嘿Siri播放Maroon 5的歌,Maroon 5,,,Maroon 5,1798556,False,False,True
308499,嘿Siri播放MAN WITH A MISSION的歌,MAN WITH A MISSION,,,MAN WITH A MISSION,424817976,False,False,True
309337,嘿Siri播放塞隆尼斯孟克的歌,塞隆尼斯孟克,,,Thelonious Monk,45058,False,False,False
309224,嘿Siri播放Bill Evans Trio的歌,Bill Evans Trio,,,Bill Evans Trio,151188147,False,False,True
309467,嘿Siri播放Deva Premal的歌,Deva Premal,,,Deva Premal,19067876,False,False,True
309415,嘿Siri播放Dan Gibson's Solitudes的歌,Dan Gibson's Solitudes,,,Dan Gibson's Solitudes,146678028,False,False,True
309079,嘿Siri播放Blur的歌,Blur,,,Blur,528564,False,False,True
308444,嘿Siri播放Cash Cash的歌,Cash Cash,,,Cash Cash,292362693,False,False,True
310022,嘿Siri播放SE O的歌,SE O,,,SE O,1084645032,False,False,True
308922,嘿Siri播放BESTie的歌,BESTie,,,BESTie,830073965,False,False,True
308864,嘿Siri播放Faye的歌,Faye,,,Faye 飛,979286583,False,False,True
309794,嘿Siri播放High4的歌,High4,,,High4,858263213,False,True,True
310143,嘿Siri播放羅時豐的歌,羅時豐,,,羅時豐,959462850,False,False,True
308389,嘿Siri播放오준성的歌,오준성,,,,,,,
308753,嘿Siri播放Mother Goose Club的歌,Mother Goose Club,,,Mother Goose Club,434664701,False,False,True
310070,嘿Siri播放 艾拉妮絲 莫莉塞特 的歌,Alanis Morissette,,,Alanis Morissette,1092859,False,True,True
309116,嘿Siri播放Diddy - Dirty Money的歌,Diddy - Dirty Money,,,Diddy - Dirty Money,337296125,False,False,True
309291,嘿Siri播放Miguel的歌,Miguel,,,Miguel,29254083,False,False,True
309074,嘿Siri播放Gryffin的歌,Gryffin,,,Gryffin,953311187,False,False,True
339123,嘿Siri播放孫佳人的歌,孫佳人,,,가인,348732958,False,False,False
308768,嘿Siri播放Kings of Leon的歌,Kings of Leon,,,Kings of Leon,1883403,False,False,True
309933,嘿Siri播放toe的歌,toe,,,toe,120959326,False,False,True
309961,嘿Siri播放Alok的歌,Alok,,,Alok,324709167,False,True,True
308720,嘿Siri播放Niall Horan的歌,Niall Horan,,,Niall Horan,471260298,False,False,True
308587,嘿Siri播放EXID的歌,EXID,,,EXID,503473013,False,False,True
308466,嘿Siri播放Franz Ferdinand的歌,Franz Ferdinand,,,Franz Ferdinand,6596751,False,False,True
310189,嘿Siri播放LEW的歌,LEW,,,LEW,1080492010,False,False,True
