test_id,ref_utterance,ref_utterance_artist,script,type,expected_name,expected_id,asr_pass,e2e_asr_pass,e2e_ref_pass
309757,嘿Siri播放Tom Misch的歌,Tom Misch,,,Tom Misch,893237941,False,False,True
309294,嘿Siri播放GOT7的歌,GOT7,,,GOT7,802694659,True,True,True
310163,嘿Siri播放ZAYN的歌,ZAYN,,,ZAYN,973181994,False,False,True
308682,嘿Siri播放Sarah McLachlan的歌,Sarah McLachlan,,,Sarah McLachlan,111192,True,True,True
308544,嘿Siri播放The Wanted的歌,The Wanted,,,The Wanted,3445978,False,False,True
309359,嘿Siri播放雪瑞兒可洛的歌,雪瑞兒可洛,,,Sheryl Crow,58757,True,True,True
310280,嘿Siri播放The Beach Boys的歌,The Beach Boys,,,The Beach Boys,562555,True,True,True
309343,嘿Siri播放李克勤的歌,李克勤,,,李克勤,368904535,True,False,False
310293,嘿Siri播放Ra.D的歌,Ra.D,,,Ra.D,384175364,False,False,True
308931,嘿Siri播放XIA的歌,XIA,,,XIA,389991899,False,False,True
308707,嘿Siri播放朴燦烈的歌,朴燦烈,,,朴燦烈,935192676,True,True,True
309374,嘿Siri播放Theodore Shapiro的歌,Theodore Shapiro,,,Theodore Shapiro,276655,False,False,True
309574,嘿Siri播放比爾艾文斯的歌,比爾艾文斯,,,Bill Evans,117975,False,False,False
308974,嘿Siri播放A R I Z O N A的歌,A R I Z O N A,,,A R I Z O N A,1026166335,False,False,True
310296,嘿Siri播放張敬軒的歌,張敬軒,,,張敬軒,647198652,True,True,True
309825,嘿Siri播放歡樂合唱團的歌,歡樂合唱團,,,Glee Cast,315816847,True,False,False
309292,嘿Siri播放Skylar Grey的歌,Skylar Grey,,,Skylar Grey,403746928,True,True,True
309949,嘿Siri播放土岐麻子的歌,土岐麻子,,,土岐麻子,73378108,True,True,True
308760,嘿Siri播放Idina Menzel的歌,Idina Menzel,,,Idina Menzel,3297504,True,True,True
308802,嘿Siri播放John Newman的歌,John Newman,,,John Newman,649230577,True,True,True
309044,嘿Siri播放陶喆的歌,陶喆,,,陶喆,16789930,True,True,True
309694,嘿Siri播放 天命真女 的歌,Destiny's Child,,,Destiny's Child,634287,True,True,True
310227,嘿Siri播放Yann Tiersen的歌,Yann Tiersen,,,Yann Tiersen,16401316,True,True,True
309861,嘿Siri播放中島美嘉的歌,中島美嘉,,,,,,,
308872,嘿Siri播放Selena Gomez & The Scene的歌,Selena Gomez & The Scene,,,Selena Gomez & The Scene,327163415,False,False,True
308861,嘿Siri播放小賈斯汀的歌,小賈斯汀,,,小賈斯汀,320569549,True,False,False
309913,嘿Siri播放My Little Airport的歌,My Little Airport,,,My Little Airport,254621878,False,False,False
309492,嘿Siri播放國際首席愛樂樂團的歌,國際首席愛樂樂團,,,國際首席愛樂樂團,1207744080,True,True,True
308465,嘿Siri播放Crayon Pop的歌,Crayon Pop,,,Crayon Pop,695312695,False,False,True
309571,嘿Siri播放TAEMIN的歌,TAEMIN,,,TAEMIN,971826499,False,False,True
309806,嘿Siri播放Music Together的歌,Music Together,,,Music Together,267555327,True,True,True
308756,嘿Siri播放The Vamps的歌,The Vamps,,,The Vamps,691255435,False,False,True
309538,嘿Siri播放Russ的歌,Russ,,,Russ,683622116,False,False,True
309375,嘿Siri播放HUSH的歌,HUSH,,,HUSH,1047307955,False,False,True
308410,嘿Siri播放Foster the People的歌,Foster the People,,,Foster the People,414023649,True,True,True
309198,嘿Siri播放Emil Gilels的歌,Emil Gilels,,,Emil Gilels,267987,False,False,True
308764,嘿Siri播放Ne-Yo的歌,Ne-Yo,,,Ne-Yo,78257321,False,False,True
308870,嘿Siri播放Chet Baker的歌,Chet Baker,,,Chet Baker,118257,False,False,True
